pl_rade,pl_bmasse,pl_eqt,pl_orbper,pl_orbsmax,st_spectype,st_teff,st_met
14.404,117.91493,1457.0,3.71495,0.0474,G0 V,5738.0,0.025
11.31,378.2177,1134.0,1.540731,0.0234,K5 V,4309.0,0.252
7.23,147.15455,703.0,23.624,0.163,G2,5844.0,0.156
12.52,617.22586,974.0,15.168865,0.1207,G3,5788.0,0.14
2.265,10.15,1077.0,4.11296,0.052,G9 V,5328.0,0.14
1.791,9.95,1323.0,0.6047328,0.01159,K9 V/M0 V,3875.0,-0.08
14.572,1064.72516,1728.0,4.0782387,0.0561,F6 V,6311.0,-0.1
3.56,19.28,632.0,4.07445,0.04457,K6-K7,4350.0,0.3
16.814,309.56642,637.0,8.350381,0.07098,K7,4250.0,0.2
13.32,325.69,498.0,8.350231,0.07191,K6-K7,4350.0,0.3
9.02,51.42,1199.0,8.02773,0.082,G0,6122.0,0.0
9.19,27.4,868.0,7.06466,0.0696,G9,5350.0,0.139
2.415,6.28,703.0,2.4919863,0.0287,M2.0 V,3476.0,0.05
3.65,15.4,330.0,24.245586,0.1288,M3 V,3553.0,0.041
1.694,5.9,775.0,3.444717,0.03826,M0.5 V,3997.0,0.33
3.01,8.1,955.0,4.30744,0.049,K V,5151.0,0.17
2.51,8.8,860.0,5.904144,0.061,K V,5151.0,0.17
3.51,5.3,586.0,18.6559,0.131,K V,5151.0,0.17
3.78,14.8,462.0,37.9216,0.211,K V,5151.0,0.17
2.726,9.5,1037.0,4.65382,0.05186,K0 V,5320.0,-0.02
2.759,6.63,828.0,9.15059,0.0814,K0 V,5320.0,-0.02
2.93,13.6,638.0,19.98,0.137,K0 V,5320.0,-0.02
2.34,8.6,860.0,3.12748,0.0366,K6 V,4227.0,-0.1
2.82,11.8,643.0,7.49325,0.0656,K6 V,4227.0,-0.1
2.62,4.23,425.0,10.894841,0.0728,M3 V,3618.0,-0.195
2.37,13.5,413.0,10.894843,0.0736,M3,3600.0,-0.5
2.458,15.9,410.0,10.894879,0.0745,M2 V,3573.0,-0.08
2.13,2.88,354.0,18.801611,0.1047,M3 V,3618.0,-0.195
1.673,6.4,347.0,18.80152,0.1037,M2 V,3573.0,-0.08
1.56,2.2,344.0,18.80151,0.1058,M3,3600.0,-0.5
9.1,96.4,919.0,8.1577094,0.0711,K1-K2,5300.0,0.36
15.693,451.31634,2360.0,3.1968838,0.047,F,6280.0,0.26
3.42,22.4,1395.0,2.1097019,0.026,G8 V,5397.0,0.16
6.053,47.0386,676.0,25.83839,0.1732,G5V,5793.0,0.164
1.62,3.48,1517.0,1.0697568,0.019,G9 V,4884.0,0.08
3.96,9.0,867.0,12.9972,0.108,G2 V,5840.0,-0.09
16.701,991.62463,2370.0,2.650237,0.046,Am C,7690.0,0.09
1.672,4.82,326.0,11.06201,0.061,M4 &#177 0.5 V,3185.0,-0.07
2.18,7.32,734.0,2.527093,0.0285,M1.5 V,3709.0,0.0
2.47,7.24,373.0,18.08816,0.106,M1.5 V,3709.0,0.0
14.067,797.7533,1404.0,5.857487,0.07037,F,6255.0,0.28
21.017,731.00534,2492.0,1.902603,0.0389,F0,7300.0,-0.1
14.415,375.0394,1588.0,2.0845435,0.03138,G9 IV,5404.0,0.24
